USI_ID;NOME;SUBSISTEMA ;ESTADO;FONTE;CEG ANEEL;LAT;LONG
MAEDT1;EOL DELTA 3 01;NORTE;MA;Eólica;EOL.CV.MA.033682-3.01;-2.67;-42.62
MAEDT7;EOL DELTA 3 07;NORTE;MA;Eólica;EOL.CV.MA.033680-7.01;-2.62;-42.66
MAEDT3;EOL DELTA 3 03;NORTE;MA;Eólica;EOL.CV.MA.033684-0.01;-2.65;-42.63
MAEDT4;EOL DELTA 3 04;NORTE;MA;Eólica;EOL.CV.MA.033685-8.01;-2.66;-42.61
MAEDT5;EOL DELTA 3 05;NORTE;MA;Eólica;EOL.CV.MA.033675-0.01;-2.63;-42.64
MAEDT6;EOL DELTA 3 06;NORTE;MA;Eólica;EOL.CV.MA.033673-4.01;-2.63;-42.65
MAEDT2;EOL DELTA 3 02;NORTE;MA;Eólica;EOL.CV.MA.033683-1.01;-2.62;-42.66
MAEDT8;DELTA 3 VIII;NORTE;MA;Eólica;EOL.CV.MA.033686-6.01;-2.67;-42.64
MAEDS2;DELTA 6 II;NORTE;MA;Eólica;EOL.CV.MA.037967-0.01;-2.66;-42.61
MAEDS1;DELTA 6 I;NORTE;MA;Eólica;EOL.CV.MA.037970-0.01;-2.69;-42.57
MAEDS3;DELTA 5 II;NORTE;MA;Eólica;EOL.CV.MA.037972-7.01;-2.67;-42.60
MAEDT9;DELTA 5 I I5;NORTE;MA;Eólica;EOL.CV.MA.037976-0.01;-2.70;-42.55
MAED7I;Eólica Delta 7 I;NORTE;MA;Eólica;EOL.CV.MA.040572-8.01;-2.68;-42.60
MAED72;DELTA 7 II;NORTE;MA;Eólica;EOL.CV.MA.040573-6.01;-2.69;-42.58
MAED8I;DELTA 8 I;NORTE;MA;Eólica;EOL.CV.MA.040574-4.01;-2.70;-42.57
RNUERF;RIO DO FOGO;NORDESTE;RN;Eólica;EOL.CV.RN.028424-6.01;-5.30;-35.38
D29041;MILLENNIUM;NORDESTE;PB;Eólica;EOL.CV.PB.029041-6.01;-6.49;-34.97
CEBBR;BEBERIBE;NORDESTE;CE;Eólica;EOL.CV.CE.028174-3.01;-4.19;-38.08
CETAIB;TAIBA ALBATROZ;NORDESTE;CE;Eólica;EOL.CV.CE.028858-6.01;-3.51;-38.91
CEPRU;PARACURU;NORDESTE;CE;Eólica;EOL.CV.CE.028706-7.01;-3.43;-38.96
CEEOLI;CANOAQUBR(E-RV-ACEP);NORDESTE;CE;Eólica;EOL.CV.CE.028649-4.01;-4.53;-37.69
D28731;PEDRA DO SAL;NORDESTE;PI;Eólica;EOL.CV.PI.028731-8.01;-2.83;-41.71
D29085;ALBATROZ;NORDESTE;PB;Eólica;EOL.CV.PB.029085-8.01;-6.55;-34.97
D29088;ATLANTICA;NORDESTE;PB;Eólica;EOL.CV.PB.029088-2.01;-6.55;-34.97
D29084;CAMURIM;NORDESTE;PB;Eólica;EOL.CV.PB.029084-0.01;-6.56;-34.97
D29089;CARAVELA;NORDESTE;PB;Eólica;EOL.CV.PB.029089-0.01;-6.56;-34.97
D29086;COELHOS I;NORDESTE;PB;Eólica;EOL.CV.PB.029086-6.01;-6.58;-34.97
D29090;COELHOS II;NORDESTE;PB;Eólica;EOL.CV.PB.029090-4.01;-6.57;-34.97
D29087;COELHOS III;NORDESTE;PB;Eólica;EOL.CV.PB.029087-4.01;-6.57;-34.97
D29091;COELHOS IV;NORDESTE;PB;Eólica;EOL.CV.PB.029091-2.01;-6.58;-34.97
D29092;MATARACA;NORDESTE;PB;Eólica;EOL.CV.PB.029092-0.01;-6.58;-34.98
D29083;PRESIDENTE;NORDESTE;PB;Eólica;EOL.CV.PB.029083-1.01;-6.57;-34.98
CELGMO;LAGOA DO MATO;NORDESTE;CE;Eólica;EOL.CV.CE.028652-4.01;-13.83;-42.64
CEFRC;FOZ DO RIO CHORO;NORDESTE;CE;Eólica;EOL.CV.CE.028630-3.01;-4.13;-38.15
CEUPRJ;PRAIAS DE PARAJURU;NORDESTE;CE;Eólica;EOL.CV.CE.028724-5.01;-4.36;-37.88
CEUFM;PRAIA FORMOSA;NORDESTE;CE;Eólica;EOL.CV.CE.028631-1.01;-2.91;-41.04
CEUCZ;ICARAIZINHO;NORDESTE;CE;Eólica;EOL.CV.CE.028699-0.01;-3.02;-39.67
CEUECQ;CANOAQUBR(E-BV-ACEP);NORDESTE;CE;Eólica;EOL.CV.CE.028788-1.01;-4.47;-37.76
CEUEBV;BONS VENTOS;NORDESTE;CE;Eólica;EOL.CV.CE.028887-0.01;-4.45;-37.76
CEUEEN;ENACEL;NORDESTE;CE;Eólica;EOL.CV.CE.028770-9.01;-4.51;-37.76
D29011;XAVANTE POMBOS;NORDESTE;PE;Eólica;EOL.CV.PE.029011-4.01;-8.17;-35.39
D29020;GRAVATA;NORDESTE;PE;Eólica;EOL.CV.PE.029020-3.01;-8.27;-35.60
D29015;MANDACARU;NORDESTE;PE;Eólica;EOL.CV.PE.029015-7.01;-8.28;-35.60
PESNTM;SANTA MARIA;NORDESTE;PE;Eólica;EOL.CV.PE.029019-0.01;-8.29;-35.59
D28481;PIRAUA MACAPARANA;NORDESTE;PE;Eólica;EOL.CV.PE.028481-5.01;-7.50;-35.50
CEUEPM;PRAIA DO MORGADO;NORDESTE;CE;Eólica;EOL.CV.CE.028440-8.01;-2.82;-40.23
CEUEVR;VOLTA DO RIO;NORDESTE;CE;Eólica;EOL.CV.CE.028441-6.01;-2.85;-39.97
