USI_ID;ID_AGRUPAMENTO;ID_PONTO_CONEXAO;ID_SUBSISTEMA;ID_EMPREENDIMENTO;ID_AGENTE;ID_MODALIDADE;NOME;TP_USINA;TAG_PI;CEG_ANEEL;COD_CCEE;LATITUDE;LONGITUDE;POT_INSTALADA;FLAG_PROGRAMADA;DT_ENTRADA_OPER;DT_DESATIVACAO;VLR_GF_ENERGIA;VLR_GF_POTENCIA;FLAG_MERCADO;UF;NOME_SIMPLES;ID_QUADRICULA;COD_PI;DT_INCLUSAO;FLAG_HISTORICO;FLAG_SIMULADA;ID_CONJUNTO_PDES_OLD;ID_CONJUNTO_PDP;DT_ENTRADA_TESTE;LATITUDE_;LONGITUDE_;LOCALIZACAO;DT_ENTRADA_SIMUL;ID_SUBSISTEMA_SIMUL;FLAG_SUSPENSA;FLAG_LEILAO;ID_CONJUNTO_BDT;ID_PONTO_CONEXAO_BDT;ID_CONJUNTO_PDES
BAAR01;NULL;NULL;NE;NULL;NULL;14;AROEIRA 1;UEE;NULL;EOL.CV.BA.044940-7.01;NULL;0.00;0.00;30000.00;1;NULL;NULL;NULL;NULL;NULL;BA;AROEIRA 1;NULL;BAAR01;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR02;NULL;NULL;NE;NULL;NULL;14;AROEIRA 2;UEE;NULL;EOL.CV.BA.044947-4.01;NULL;0.00;0.00;30000.00;1;NULL;NULL;NULL;NULL;NULL;BA;AROEIRA 2;NULL;BAAR02;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR03;NULL;NULL;NE;NULL;NULL;14;AROEIRA 3;UEE;NULL;EOL.CV.BA.044948-2.01;NULL;0.00;0.00;47300.00;1;NULL;NULL;NULL;NULL;NULL;BA;AROEIRA 3;NULL;BAAR03;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR04;NULL;NULL;NE;NULL;NULL;14;AROEIRA 4;UEE;NULL;EOL.CV.BA.044949-0.01;NULL;0.00;0.00;30000.00;1;NULL;NULL;NULL;NULL;NULL;BA;AROEIRA 4;NULL;BAAR04;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR05;NULL;NULL;NE;NULL;NULL;14;UEE AR05;UEE;NULL;EOL.CV.BA.044950-4.01;NULL;0.00;0.00;30000.00;1;NULL;NULL;NULL;NULL;NULL;BA;UEE AR05;NULL;BAAR05;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR06;NULL;NULL;NE;NULL;NULL;14;AROEIRA 6;UEE;NULL;EOL.CV.BA.044951-2.01;NULL;0.00;0.00;47300.00;1;NULL;NULL;NULL;NULL;NULL;BA;AROEIRA 6;NULL;BAAR06;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR07;NULL;NULL;NE;NULL;NULL;14;AROEIRA 7;UEE;NULL;EOL.CV.BA.044952-0.01;NULL;0.00;0.00;47300.00;1;NULL;NULL;NULL;NULL;NULL;BA;AROEIRA 7;NULL;BAAR07;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAAR08;NULL;NULL;NE;NULL;NULL;14;UEE AR08;UEE;NULL;EOL.CV.BA.044953-9.01;NULL;0.00;0.00;30000.00;1;NULL;NULL;NULL;NULL;NULL;BA;UEE AR08;NULL;BAAR08;18/08/2022;NULL;0;NULL;NULL;NULL;0.0000;0.0000;;NULL;NE;N;N;NULL;NULL;NULL
BAB15;257;98;NE;NULL;NULL;14;BARAUNAS XV;UEE;NULL;EOL.CV.BA.038031-8.01;NULL;-9.75;-40.98;48510.00;1;17/09/2022;NULL;NULL;NULL;NULL;BA;BARAUNAS XV;NULL;BAB15 ;31/01/2022;NULL;1;NULL;291;05/07/2022;-97,500;-409,800;I;21/10/2022;NE;N;N;128;96;NULL
BAB20;257;98;NE;NULL;NULL;14;UEE ARI BARAUNAS XX;UEE;NULL;EOL.CV.BA.036993-4.01;NULL;-9.79;-41.01;31185.00;1;11/08/2022;NULL;NULL;NULL;NULL;BA;UEE ARI BARAUNAS XX;NULL;BAB20 ;31/01/2022;NULL;1;NULL;291;07/05/2022;-97,900;-410,100;I;24/08/2022;NE;N;N;128;96;NULL
