ceg,data_inicio_operacao,capacidade_instalada,id,codigo,nome,subsistema,latitude,longitude,coordenadas_aproximadas
EOL.CV.BA.030283-0.01,2017-01-01,35.07,1,BAUEMC,Macaúbas,NE,-12.35,-42.34,FALSE
EOL.CV.BA.030288-0.01,2017-01-01,30,2,BAPEDO,PEDRA DO REINO,NE,-9.51,-40.88,FALSE
EOL.CV.BA.030305-4.01,2017-01-01,30.06,3,BAUENH,Novo Horizonte,NE,-12.31,-42.35,FALSE
EOL.CV.BA.030306-2.01,2017-01-01,30.06,4,BAUESR,Seabra,NE,-12.27,-42.37,FALSE
EOL.CV.BA.030314-3.01,2017-01-01,19.2,5,BAUESS,Serra do Salto,NE,-14.16,-42.64,FALSE
EOL.CV.BA.030315-1.01,2017-01-01,11.2,6,BAUEIH,Ilhéus,NE,-13.88,-42.66,FALSE
EOL.CV.BA.030316-0.01,2017-01-01,9.6,7,BAUECB,Candiba,NE,-14.19,-42.65,FALSE
EOL.CV.BA.030317-8.01,2017-01-01,24,8,BAUELA,Licínio de Almeida,NE,-14.18,-42.65,FALSE
EOL.CV.BA.030318-6.01,2017-01-01,28.8,9,BAUENC,Nossa Senhora da Conceição,NE,-13.9,-42.68,FALSE
EOL.CV.BA.030319-4.01,2017-01-01,25.6,10,BAUEPV,Pajeú do Vento,NE,-14.01,-42.63,FALSE
EOL.CV.BA.030320-8.01,2017-01-01,8,11,BAUEAV,Alvorada,NE,-14.19,-42.59,FALSE
EOL.CV.BA.030321-6.01,2017-01-01,30.4,12,BAUEIP,Igaporã,NE,-13.86,-42.66,FALSE
EOL.CV.BA.030322-4.01,2017-01-01,27.2,13,BAUEPT,Planaltina,NE,-13.99,-42.64,FALSE
EOL.CV.BA.030323-2.01,2017-01-01,6.4,14,BAUEPS,Porto Seguro,NE,-13.86,-42.67,FALSE
EOL.CV.BA.030324-0.01,2017-01-01,24,15,BAUEPD,Pindaí,NE,-14.2,-42.66,FALSE
EOL.CV.BA.030328-3.01,2017-01-01,20.8,16,BAUEGB,Guanambi,NE,-14.2,-42.62,FALSE
EOL.CV.BA.030341-0.01,2017-01-01,30.4,17,BAUERV,Rio Verde,NE,-14.16,-42.6,FALSE
EOL.CV.BA.030342-9.01,2017-01-01,28.8,18,BAUEGP,Guirapá,NE,-14.22,-42.64,FALSE
EOL.CV.BA.030437-9.01,2017-01-01,30,19,BAUET2,Caetité 2,NE,-14.19,-42.5,FALSE
EOL.CV.BA.030443-3.01,2017-01-01,30,20,BAUEPB,Pedra Branca,NE,-9.87,-41.1,FALSE
EOL.CV.BA.030448-4.01,2017-01-01,30,21,BAUET3,Caetité 3,NE,-14.22,-42.51,FALSE
EOL.CV.BA.030455-7.01,2017-01-01,30,22,BAUESG,Sete Gameleiras,NE,-9.86,-41.1,FALSE
EOL.CV.BA.030456-5.01,2017-01-01,30,23,BAUEPL,São Pedro do Lago,NE,-9.89,-41.1,FALSE
EOL.CV.BA.030456-5.01,2019-08-01,-30,23,BAUEPL,São Pedro do Lago,NE,-9.89,-41.1,FALSE
EOL.CV.BA.030456-5.01,2019-08-01,28,23,BAUEPL,São Pedro do Lago,NE,-9.89,-41.1,FALSE
EOL.CV.BA.030476-0.01,2017-01-01,23.52,24,BAUEVN,Ventos do Nordeste,NE,-14.12,-42.61,FALSE
EOL.CV.BA.030490-5.01,2017-01-01,21.84,25,BAUEDP,Da Prata,NE,-13.95,-42.64,FALSE
EOL.CV.BA.030495-6.01,2017-01-01,31.86,26,BAUEAR,Dos Araçás,NE,-14.13,-42.56,FALSE
EOL.CV.BA.030506-5.01,2017-01-01,30.24,27,BAUEMR,Morrão,NE,-14.09,-42.68,FALSE
EOL.CV.BA.030544-8.01,2017-01-01,30,28,BAUETQ,Tanque,NE,-14.1,-42.61,FALSE
EOL.CV.BA.030546-4.01,2017-01-01,30.24,29,BAUESE,Seraíma,NE,-14.15,-42.71,FALSE
EOL.CV.BA.030608-8.01,2017-01-01,18,30,BAPDR3,PEDRA DO REINO III,NE,-9.49,-40.87,FALSE
