id,longitude,latitude
1,-50,5
2,-49.75,5
3,-49.5,5
4,-49.25,5
5,-49,5
6,-48.75,5
7,-48.5,5
8,-48.25,5
9,-48,5
10,-47.75,5
11,-47.5,5
12,-47.25,5
13,-47,5
14,-46.75,5
15,-46.5,5
16,-46.25,5
17,-46,5
18,-45.75,5
19,-45.5,5
20,-45.25,5
21,-45,5
22,-44.75,5
23,-44.5,5
24,-44.25,5
25,-44,5
26,-43.75,5
27,-43.5,5
28,-43.25,5
29,-43,5
30,-42.75,5
31,-42.5,5
32,-42.25,5
33,-42,5
34,-41.75,5
35,-41.5,5
36,-41.25,5
37,-41,5
38,-40.75,5
39,-40.5,5
40,-40.25,5
41,-40,5
42,-39.75,5
43,-39.5,5
44,-39.25,5
45,-39,5
46,-38.75,5
47,-38.5,5
48,-38.25,5
49,-38,5
50,-37.75,5
51,-37.5,5
52,-37.25,5
53,-37,5
54,-36.75,5
55,-36.5,5
56,-36.25,5
57,-36,5
58,-35.75,5
59,-35.5,5
60,-35.25,5
61,-35,5
62,-34.75,5
63,-34.5,5
64,-34.25,5
65,-34,5
66,-33.75,5
67,-33.5,5
68,-33.25,5
69,-33,5
70,-32.75,5
71,-32.5,5
72,-32.25,5
73,-32,5
74,-31.75,5
75,-31.5,5
76,-31.25,5
77,-31,5
78,-30.75,5
79,-30.5,5
80,-30.25,5
81,-30,5
82,-50,4.75
83,-49.75,4.75
84,-49.5,4.75
85,-49.25,4.75
86,-49,4.75
87,-48.75,4.75
88,-48.5,4.75
89,-48.25,4.75
90,-48,4.75
91,-47.75,4.75
92,-47.5,4.75
93,-47.25,4.75
94,-47,4.75
95,-46.75,4.75
96,-46.5,4.75
97,-46.25,4.75
98,-46,4.75
99,-45.75,4.75
100,-45.5,4.75
101,-45.25,4.75
102,-45,4.75
103,-44.75,4.75
104,-44.5,4.75
105,-44.25,4.75
106,-44,4.75
107,-43.75,4.75
108,-43.5,4.75
109,-43.25,4.75
110,-43,4.75
111,-42.75,4.75
112,-42.5,4.75
113,-42.25,4.75
114,-42,4.75
115,-41.75,4.75
116,-41.5,4.75
117,-41.25,4.75
118,-41,4.75
119,-40.75,4.75
120,-40.5,4.75
121,-40.25,4.75
122,-40,4.75
123,-39.75,4.75
124,-39.5,4.75
125,-39.25,4.75
126,-39,4.75
127,-38.75,4.75
128,-38.5,4.75
129,-38.25,4.75
130,-38,4.75
131,-37.75,4.75
132,-37.5,4.75
133,-37.25,4.75
134,-37,4.75
135,-36.75,4.75
136,-36.5,4.75
137,-36.25,4.75
138,-36,4.75
139,-35.75,4.75
140,-35.5,4.75
141,-35.25,4.75
142,-35,4.75
143,-34.75,4.75
144,-34.5,4.75
145,-34.25,4.75
146,-34,4.75
147,-33.75,4.75
148,-33.5,4.75
149,-33.25,4.75
150,-33,4.75
151,-32.75,4.75
152,-32.5,4.75
153,-32.25,4.75
154,-32,4.75
155,-31.75,4.75
156,-31.5,4.75
157,-31.25,4.75
